period,CDEP,rfrom,driveThresh,numCar,Time,iDest,iFlights,allFlights,DESpopK,DESgdpM,popK
2019Q3,AT,AT,S,87,7.7,5.084,9.52,9.52,451722,11780171,8486.6
2019Q3,AT,AT,L,87,8.7,6.593,0.71,0.71,472728.8,11911316,8775.7
2019Q3,BE,BE,S,86,7.5,9.186,13.99,13.99,452929.2,11857935,11354.8
2019Q3,BG,BG,L,92,10.3,1.266,1.86,1.86,475189.3,11999617,6198.7
2019Q3,BG,BG,S,92,8.9,0.577,3.32,3.32,435933.9,11452731,5031.5
2019Q3,CY,CY,S,46,11.1,2.001,5.93,5.93,412516.8,10983354,854.9
2019Q3,CZ,CZ,S,66,7.8,3.437,5.54,5.54,451757.6,11778584,9500.2
2019Q3,CZ,CZ,L,66,9,4.315,1.63,1.63,473935.4,11974121,10579.7
2019Q3,DE,DE,S,144,7.6,16.19,15.02,15.02,470125.5,12230064,81845.7
2019Q3,DE,DE,L,144,9,13.52,0.89,0.89,486046.6,12150177,82096.9
2019Q3,DK,DK,S,63,8,5.122,10.99,10.99,442193.5,11703881,5701.3
2019Q3,DK,DK,L,63,9.4,4.094,0.45,0.45,449629.2,11540153,5718.5
2019Q3,EE,EE,S,19,8.6,0.813,4.45,4.45,413085.2,11068260,1055.1
2019Q3,EE,EE,L,19,10.3,1.502,1.9,1.9,439547.6,11359804,1316.9
2019Q3,GR,GR,S,111,9.4,2.678,7.61,7.61,463840.2,12126062,10387
2019Q3,GR,GR,L,111,10.4,1.879,0.23,0.23,490486,12319169,10770.5
2019Q3,ES,ES,S,124,8.3,5.216,9.31,9.31,465546.5,12152873,44719.8
2019Q3,ES,ES,L,124,10,6.813,0.7,0.7,491446.2,12365678,46526.7
2019Q3,FI,FI,S,57,8.7,5.057,5.81,5.81,432807.8,11562021,5442
2019Q3,FI,FI,L,57,10.2,4.272,0.27,0.27,460748.9,11663576,5322.2
2019Q3,FR,FR,S,129,7.6,7.724,8.58,8.58,466583.2,12177955,62700.8
2019Q3,FR,FR,L,129,9.2,7.33,0.64,0.64,489675.9,12329940,62499.9
2019Q3,HR,HR,S,68,8.4,0.882,5.64,5.64,440068.7,11675470,4039.6
2019Q3,HR,HR,L,68,9.9,0.542,0.25,0.25,464403.4,11904262,4092.5
2019Q3,HU,HU,L,76,9.3,6.655,4.19,4.19,478933.6,12043215,9397.9
2019Q3,HU,HU,S,76,8,3.74,6.08,6.08,447975,11699548,6857
2019Q3,IE,IE,S,46,7.5,20.088,7.42,7.42,441964.6,11656808,4265.6
2019Q3,IT,IT,S,142,8.1,7.661,13.3,13.3,465658.7,12113702,57689.3
2019Q3,IT,IT,L,142,9.6,5.305,0.93,0.93,488693.7,12262022,60577.7
2019Q3,LT,LT,S,33,9,0.453,4.76,4.76,416604.4,11167693,2219
2019Q3,LT,LT,L,33,10.2,0.861,2.16,2.16,460225.9,11757394,2848
2019Q3,LU,LU,S,28,7.3,1.265,8.78,8.78,398838,10398582,590.7
2019Q3,LV,LV,L,28,11,0.865,2.6,2.6,450642.8,11590669,1950.6
2019Q3,LV,LV,S,28,9.1,0.618,5.61,5.61,423316.2,11282956,1242
2019Q3,MT,MT,S,35,8.7,1.209,7.21,7.21,436574.6,11625257,460.3
2019Q3,NL,NL,L,86,9.2,5.719,1.11,1.11,472458.2,11827026,17095.7
2019Q3,NL,NL,S,86,7.3,11.602,17.88,17.88,448253.7,11665327,17079.4
2019Q3,PL,PL,S,57,8.4,2.375,6.3,6.3,439114,11580249,32031
2019Q3,PL,PL,L,57,9.7,3.111,2,2,467443.4,11897451,39685.1
2019Q3,PT,PT,S,83,8.7,3.658,11.73,11.73,452953.7,12009249,10149.3
2019Q3,PT,PT,L,83,10.5,5.259,0.67,0.67,471358.9,12132190,10308.3
2019Q3,RO,RO,S,50,9.1,1.262,3.29,3.29,440955.7,11542659,14224.5
2019Q3,RO,RO,L,50,10.2,1.529,1.71,1.71,467788.2,11853345,19646.1
2019Q3,SE,SE,S,64,8.4,6.66,9.44,9.44,445876.4,11744664,9711.3
2019Q3,SE,SE,L,64,9.8,7.348,0.8,0.8,460910.4,11664103,9995.9
2019Q3,SI,SI,S,65,8.6,1.739,11.08,11.08,432971.7,11459716,2066.7
2019Q3,SK,SK,L,66,9.1,0.803,0.43,0.43,372445.7,9788928,5435.9
2019Q3,SK,SK,S,66,8,6.529,3.81,3.81,446895.8,11672925,2823.7
2019Q3,GB,GB,S,105,7.7,15.402,15.01,15.01,465307.8,12139858,66782.3
2019Q3,GB,GB,L,105,9.6,5.755,0.89,0.89,479645.7,12191456,67690.5
2019Q3,IE,IE,L,46,9,28.396,1.83,1.83,469997.4,11945129,4781.8
2019Q3,BE,BE,L,86,9.2,4.393,0.99,0.99,31356.1,380150,11354.8
2019Q3,CY,CY,L,46,11.7,0.16,0.2,0.2,26672.2,323286,854.9
2019Q3,LU,LU,L,28,9.1,1.01,0.54,0.54,25771.4,318590,590.7
2019Q3,MT,MT,L,35,9.9,0.322,0.22,0.22,27542,344360,460.3
2019Q3,SI,SI,L,65,10.1,1.695,0.47,0.47,29155.6,349765,2066.7
