period,CDEP,rfrom,CDES,rto,numCar,Time,iDest,iFlights,allFlights,DESpopK,DESgdpM,popK
2019Q1,AT,AT,AT,AT,8,6.1,2.328,2.04,2.04,8773.3,299126,8773.5
2019Q1,BE,BE,AT,AT,22,7.2,2.335,19.23,19.23,8775.9,299128,11354.3
2019Q1,BG,BG,AT,AT,19,8.1,1.296,3.09,3.09,8773.4,299129,6288.9
2019Q1,CY,CY,AT,AT,8,9.7,0.141,2.86,2.86,8774.4,299127,854.9
2019Q1,CZ,CZ,AT,AT,11,7,2.044,3.57,3.57,8773.4,299127,6605.6
2019Q1,DE,DE,AT,AT,32,6.9,3.362,16.86,16.86,8773.1,299129,79515.3
2019Q1,DK,DK,AT,AT,20,7.9,1.558,8.29,8.29,8773.7,299128,5670.4
2019Q1,EE,EE,AT,AT,13,9.2,0.038,5.65,5.65,8775.9,299129,1316.6
2019Q1,GR,GR,AT,AT,15,8.9,0.273,2.52,2.52,8773.4,299129,8679.7
2019Q1,ES,ES,AT,AT,22,8.7,0.739,6.36,6.36,8773.7,299129,43524.3
2019Q1,FI,FI,AT,AT,16,8.8,0.816,3.65,3.65,8774.6,299126,5013.6
2019Q1,FR,FR,AT,AT,34,7.8,1.257,7.81,7.81,8774.4,299126,48695.7
2019Q1,HR,HR,AT,AT,10,6.2,1.336,2.26,2.26,8727.2,297813,4164.1
2019Q1,HU,HU,AT,AT,14,7.8,0.842,3.38,3.38,8773.9,299129,8563.2
2019Q1,IE,IE,AT,AT,11,8.3,0.22,6.37,6.37,8726.9,297814,3291.8
2019Q1,IT,IT,AT,AT,24,7.8,2.072,9.09,9.09,8773.9,299128,59186
2019Q1,LT,LT,AT,AT,13,8.8,0.225,3.57,3.57,8775.2,299127,2848.8
2019Q1,LU,LU,AT,AT,10,6.8,1.149,10.86,10.86,8776.1,299129,590.8
2019Q1,LV,LV,AT,AT,11,8.7,0.265,4.17,4.17,8773,299128,1950.6
2019Q1,MT,MT,AT,AT,8,8.6,0.296,2.45,2.45,8726.4,297815,460.4
2019Q1,NL,NL,AT,AT,24,7.1,1.92,20.99,20.99,8773.9,299128,15854.4
2019Q1,PL,PL,AT,AT,14,8,0.7,5.53,5.53,8774.8,299127,39689.5
2019Q1,PT,PT,AT,AT,22,9.5,0.555,7.83,7.83,8774.2,299129,9670.9
2019Q1,RO,RO,AT,AT,13,8,1.623,2.55,2.55,8775.3,299128,16654
2019Q1,SE,SE,AT,AT,22,8.3,1.205,8.03,8.03,8774.1,299126,9136.7
2019Q1,SI,SI,AT,AT,7,6.5,1.426,3.29,3.29,8314.9,284805,2066.2
2019Q1,SK,SK,AT,AT,8,6.6,0.995,1.22,1.22,8165.3,282819,3475.4
2019Q1,GB,GB,AT,AT,31,8.2,2.094,15.31,15.31,8774.5,299127,66957.8
2019Q1,AT,AT,BE,BE,22,7.5,1.971,19.53,19.53,11352.5,369018,8776
2019Q1,DE,DE,BE,BE,28,7,10.88,14.8,14.8,11354.3,369017,77841.4
2019Q1,ES,ES,BE,BE,29,8.2,1.142,15.84,15.84,11351.9,369014,44124.8
2019Q1,IE,IE,BE,BE,9,7.1,1.052,9.23,9.23,11354.1,369017,3740.6
2019Q1,IT,IT,BE,BE,28,7.7,0.883,20.05,20.05,11353.9,369016,60422.4
2019Q1,NL,NL,BE,BE,6,5.7,3.19,0.47,0.47,11353,369016,14204.8
2019Q1,GB,GB,BE,BE,17,6.9,3.8,16.75,16.75,11354.1,369018,66651.5
2019Q1,BG,BG,BE,BE,21,9.2,0.074,9.29,9.29,11355.6,369016,4891.9
2019Q1,CY,CY,BE,BE,11,11.1,0.017,7.65,7.65,11354.1,369016,854.9
2019Q1,CZ,CZ,BE,BE,16,7.4,0.898,11.87,11.87,11354.7,369015,6309.4
2019Q1,DK,DK,BE,BE,12,7,1.731,15.44,15.44,11353.8,369018,5669.8
2019Q1,EE,EE,BE,BE,11,9,0.191,13.03,13.03,11355.1,369015,1316.9
2019Q1,GR,GR,BE,BE,19,9.8,0.428,14.95,14.95,11354.7,369018,8751.2
2019Q1,FI,FI,BE,BE,17,8.4,1.351,9.83,9.83,11355.2,369015,5014
